"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
28004.98,"20181218_132113_024879",28005.65,"Can/non-can","4717.DB1","3131_1",21.26,"20181218_132113_024879",28005.65,"Non-canonical syllables",3
28014.8,"20181218_132113_024879",28017.43,"Can/non-can","6300.DB1","3131_1",21.26,"20181218_132113_024879",28017.43,"Don't mark",2
28018.43,"20181218_132113_024879",28019.29,"Can/non-can","3103.DB1","3131_1",21.26,"20181218_132113_024879",28019.29,"Don't mark",3
28019.29,"20181218_132113_024879",28021.03,"Can/non-can","5035.DB1","3131_1",21.26,"20181218_132113_024879",28021.03,"Don't mark",3
28021.03,"20181218_132113_024879",28023.11,"Can/non-can","5325.DB1","3131_1",21.26,"20181218_132113_024879",28023.11,"Crying",2
28024.24,"20181218_132113_024879",28026.76,"Can/non-can","5447.DB1","3131_1",21.26,"20181218_132113_024879",28026.76,"Don't mark",2
28028.58,"20181218_132113_024879",28030.81,"Can/non-can","3296.DB1","3131_1",21.26,"20181218_132113_024879",28030.81,"None",0
28030.81,"20181218_132113_024879",28032.33,"Can/non-can","4239.DB1","3131_1",21.26,"20181218_132113_024879",28032.33,"Don't mark",3
28035.31,"20181218_132113_024879",28036.87,"Can/non-can","7309.DB1","3131_1",21.26,"20181218_132113_024879",28036.87,"Don't mark",3
28041.28,"20181218_132113_024879",28042.84,"Can/non-can","6347.DB1","3131_1",21.26,"20181218_132113_024879",28042.84,"Don't mark",3
28042.84,"20181218_132113_024879",28043.84,"Can/non-can","5152.DB1","3131_1",21.26,"20181218_132113_024879",28043.84,"Don't mark",2
28045.04,"20181218_132113_024879",28046.02,"Crying","6841.DB1","3131_1",21.26,"20181218_132113_024879",28046.02,"Crying",2
28046.02,"20181218_132113_024879",28047.31,"Can/non-can","4636.DB1","3131_1",21.26,"20181218_132113_024879",28047.31,"Don't mark",3
28047.31,"20181218_132113_024879",28048.43,"Can/non-can","4711.DB1","3131_1",21.26,"20181218_132113_024879",28048.43,"None",0
28051.91,"20181218_132113_024879",28052.87,"Can/non-can","6980.DB1","3131_1",21.26,"20181218_132113_024879",28052.87,"Don't mark",2
28057.08,"20181218_132113_024879",28058.59,"Can/non-can","5503.DB1","3131_1",21.26,"20181218_132113_024879",28058.59,"Don't mark",3
28060.68,"20181218_132113_024879",28062.15,"Can/non-can","5119.DB1","3131_1",21.26,"20181218_132113_024879",28062.15,"Non-canonical syllables",2
28066.54,"20181218_132113_024879",28067.14,"Can/non-can","2687.DB1","3131_1",21.26,"20181218_132113_024879",28067.14,"Don't mark",2
28074.94,"20181218_132113_024879",28075.65,"Can/non-can","5509.DB1","3131_1",21.26,"20181218_132113_024879",28075.65,"Canonical syllables",2
28077.28,"20181218_132113_024879",28077.88,"Can/non-can","3504.DB1","3131_1",21.26,"20181218_132113_024879",28077.88,"Non-canonical syllables",3
28088.74,"20181218_132113_024879",28089.74,"Can/non-can","2841.DB1","3131_1",21.26,"20181218_132113_024879",28089.74,"Non-canonical syllables",3
28105.59,"20181218_132113_024879",28106.88,"Can/non-can","6950.DB1","3131_1",21.26,"20181218_132113_024879",28106.88,"Non-canonical syllables",2
